1	0.9	0.1	0.15	1	144	1006	28	362	29	14.21
2	0.9	0.1	0.15	5	142	1006	28	362	29	14.21
3	0.9	0.1	0.15	10	141	1006	28	362	29	14.21
4	0.9	0.1	0.15	15	141	996	28	366	29	14.21
5	0.9	0.1	0.2	1	144	1006	28	362	29	14.21
6	0.9	0.1	0.2	5	142	1006	28	362	29	14.21
7	0.9	0.1	0.2	10	141	1006	28	368	29	14.33
8	0.9	0.1	0.2	15	141	1006	28	368	29	14.33
9	0.9	0.1	0.25	1	144	996	28	366	29	14.21
10	0.9	0.1	0.25	5	142	1006	28	368	29	14.33
11	0.9	0.1	0.25	10	141	1016	28	368	29	14.33
12	0.9	0.1	0.25	15	141	1016	28	368	29	14.33
13	0.9	0.1	0.3	1	143	1006	28	368	29	14.33
14	0.9	0.1	0.3	5	142	1016	28	368	29	14.33
15	0.9	0.1	0.3	10	141	1016	28	368	29	14.33
16	0.9	0.1	0.3	15	141	1016	28	368	29	14.33
17	0.9	0.12	0.15	1	146	1026	28	371	30	14.33
18	0.9	0.12	0.15	5	145	1026	28	371	30	14.33
19	0.9	0.12	0.15	10	143	1016	29	373	30	14.21
20	0.9	0.12	0.15	15	143	1016	29	373	30	14.21
21	0.9	0.12	0.2	1	145	1026	28	371	30	14.33
22	0.9	0.12	0.2	5	145	1016	29	373	30	14.21
23	0.9	0.12	0.2	10	144	1016	29	373	30	14.21
24	0.9	0.12	0.2	15	143	1026	28	375	30	14.33
25	0.9	0.12	0.25	1	145	1016	29	373	30	14.21
26	0.9	0.12	0.25	5	144	1016	29	373	30	14.21
27	0.9	0.12	0.25	10	144	1026	28	375	30	14.33
28	0.9	0.12	0.25	15	143	1036	29	375	30	14.33
29	0.9	0.12	0.3	1	145	1016	29	373	30	14.21
30	0.9	0.12	0.3	5	144	1026	28	375	30	14.33
31	0.9	0.12	0.3	10	144	1036	29	375	30	14.33
32	0.9	0.12	0.3	15	143	1036	29	375	30	14.33
33	0.9	0.14	0.15	1	150	1036	29	378	30	14.33
34	0.9	0.14	0.15	5	149	1047	29	378	30	14.33
35	0.9	0.14	0.15	10	149	1047	29	378	30	14.33
36	0.9	0.14	0.15	15	149	1047	29	384	31	14.45
37	0.9	0.14	0.2	1	150	1047	29	378	30	14.33
38	0.9	0.14	0.2	5	149	1047	29	378	30	14.33
39	0.9	0.14	0.2	10	149	1047	29	384	31	14.45
40	0.9	0.14	0.2	15	149	1047	29	384	31	14.45
41	0.9	0.14	0.25	1	150	1047	29	378	30	14.33
42	0.9	0.14	0.25	5	149	1047	29	384	31	14.45
43	0.9	0.14	0.25	10	149	1047	29	384	31	14.45
44	0.9	0.14	0.25	15	147	1047	29	384	31	14.45
45	0.9	0.14	0.3	1	148	1047	29	384	31	14.45
46	0.9	0.14	0.3	5	147	1047	29	384	31	14.45
47	0.9	0.14	0.3	10	147	1036	29	385	31	14.21
48	0.9	0.14	0.3	15	147	1047	29	386	31	14.33
49	0.9	0.16	0.15	1	154	1078	29	387	31	14.45
50	0.9	0.16	0.15	5	153	1078	29	387	31	14.45
51	0.9	0.16	0.15	10	152	1078	29	387	31	14.45
